ITEM_WID,AMOUNT,QUARTER_NAME,TYPE
10085,6790.00000000,2025-Q2,Inventory Adjustments
10067,32375.00000000,2024-Q4,Inventory Adjustments
10061,-835.00000000,2024-Q4,Inventory Adjustments
10090,-19965.00000000,2025-Q2,Inventory Adjustments
10076,32380.00000000,2025-Q1,Inventory Adjustments
10091,1528.00000000,2025-Q2,Inventory Adjustments
10002,-21444.00000000,2024-Q4,Inventory Adjustments
10008,-340.00000000,2024-Q4,Inventory Adjustments
10074,20500.00000000,2024-Q4,Inventory Adjustments
10090,10792.00000000,2025-Q2,Inventory Adjustments
10001,-443808.00000000,2024-Q4,Inventory Adjustments
10088,18.00000000,2025-Q2,Inventory Adjustments
10044,918.00000000,2025-Q2,Inventory Adjustments
10062,33633.00000000,2025-Q1,Inventory Adjustments
10038,-6340.00000000,2025-Q1,Inventory Adjustments
10046,55026.00000000,2025-Q2,Inventory Adjustments
10019,-78264.00000000,2025-Q2,Inventory Adjustments
10098,0.00000000,2025-Q2,Inventory Adjustments
10012,-133760.00000000,2024-Q4,Inventory Adjustments
10003,-318192.00000000,2024-Q4,Inventory Adjustments
10010,-44023.00000000,2024-Q4,Inventory Adjustments
10050,594880.00000000,2024-Q4,Inventory Adjustments
10006,-42564.00000000,2024-Q4,Inventory Adjustments
10052,519686.00000000,2024-Q4,Inventory Adjustments
10024,-20460.00000000,2024-Q4,Inventory Adjustments
10053,7188.00000000,2024-Q4,Inventory Adjustments
10096,0.00000000,2024-Q4,Inventory Adjustments
10090,-37902.00000000,2024-Q4,Inventory Adjustments
10072,376760.00000000,2025-Q2,Inventory Adjustments
10050,-1002880.00000000,2025-Q2,Inventory Adjustments
10084,-14770.00000000,2024-Q4,Inventory Adjustments
10069,820996.00000000,2025-Q2,Inventory Adjustments
10040,2272.00000000,2025-Q2,Inventory Adjustments
10097,12316.00000000,2025-Q1,Inventory Adjustments
10052,32088.00000000,2024-Q4,Inventory Adjustments
10078,-48744.00000000,2024-Q4,Inventory Adjustments
10098,-244496.00000000,2025-Q1,Inventory Adjustments
10066,70416.00000000,2024-Q4,Inventory Adjustments
10042,-32680.00000000,2024-Q4,Inventory Adjustments
10004,-79900.00000000,2025-Q2,Inventory Adjustments
10041,3534588.00000000,2025-Q2,Inventory Adjustments
10047,102207.00000000,2024-Q4,Inventory Adjustments
10069,307892.00000000,2024-Q4,Inventory Adjustments
10062,348780.00000000,2024-Q4,Inventory Adjustments
10030,6143244.00000000,2024-Q4,Inventory Adjustments
10031,-1021552.00000000,2025-Q2,Inventory Adjustments
10066,-129060.00000000,2025-Q1,Inventory Adjustments
10028,2041096.00000000,2024-Q4,Inventory Adjustments
10089,2006358.00000000,2024-Q4,Inventory Adjustments
10039,-17511.00000000,2024-Q4,Inventory Adjustments
10097,-665238.00000000,2025-Q2,Inventory Adjustments
10079,-27255.00000000,2024-Q4,Inventory Adjustments
10070,-27846721.00000000,2025-Q2,Inventory Adjustments
10095,5939860.00000000,2025-Q2,Inventory Adjustments
10084,1032783.00000000,2024-Q4,Inventory Adjustments
10032,672.00000000,2025-Q2,Inventory Adjustments
10045,25242.00000000,2024-Q4,Inventory Adjustments
10086,-1705.00000000,2024-Q4,Inventory Adjustments
10042,59951.00000000,2025-Q2,Inventory Adjustments
10067,0.00000000,2024-Q4,Inventory Adjustments
10026,8902999.00000000,2025-Q2,Inventory Adjustments
10079,-231500.00000000,2025-Q2,Inventory Adjustments
10086,259231.00000000,2024-Q4,Inventory Adjustments
10073,-1535720.00000000,2025-Q2,Inventory Adjustments
10022,-174460.00000000,2025-Q2,Inventory Adjustments
10058,329319.00000000,2024-Q4,Inventory Adjustments
10073,20682.00000000,2025-Q1,Inventory Adjustments
10008,-54524.00000000,2025-Q1,Inventory Adjustments
10013,7418.00000000,2024-Q4,Inventory Adjustments
10021,1579815.00000000,2024-Q4,Inventory Adjustments
10047,-170.00000000,2025-Q1,Inventory Adjustments
10029,2985.00000000,2024-Q4,Inventory Adjustments
10026,112430.00000000,2025-Q1,Inventory Adjustments
10081,2116.00000000,2025-Q2,Inventory Adjustments
10057,-326000.00000000,2024-Q4,Inventory Adjustments
10035,220448.00000000,2024-Q4,Inventory Adjustments
10038,8365.00000000,2025-Q1,Inventory Adjustments
10019,-1407.00000000,2024-Q4,Inventory Adjustments
10092,-3979.00000000,2024-Q4,Inventory Adjustments
10042,231623.00000000,2024-Q4,Inventory Adjustments
10085,-6672.00000000,2025-Q2,Inventory Adjustments
10025,-91101.00000000,2024-Q4,Inventory Adjustments
10072,3444.00000000,2024-Q4,Inventory Adjustments
10099,-215541.00000000,2025-Q2,Inventory Adjustments
10047,-1773.00000000,2025-Q1,Inventory Adjustments
10092,362.00000000,2025-Q1,Inventory Adjustments
10060,15096.00000000,2024-Q4,Inventory Adjustments
10095,28528.00000000,2025-Q1,Inventory Adjustments
10005,524982.00000000,2025-Q2,Inventory Adjustments
10080,-6084.00000000,2024-Q4,Inventory Adjustments
10083,-9216.00000000,2024-Q4,Inventory Adjustments
10051,31653.00000000,2024-Q4,Inventory Adjustments
10002,-33175.00000000,2025-Q2,Inventory Adjustments
10061,-108.00000000,2024-Q4,Inventory Adjustments
10087,-870.00000000,2025-Q2,Inventory Adjustments
10007,27050.00000000,2025-Q2,Inventory Adjustments
10022,-5285.00000000,2025-Q2,Inventory Adjustments
10039,-615.00000000,2024-Q4,Inventory Adjustments
10053,0.00000000,2024-Q4,Inventory Adjustments
10042,-11390.00000000,2025-Q2,Inventory Adjustments
10077,29124.00000000,2025-Q2,Inventory Adjustments
10095,-1720.00000000,2025-Q1,Inventory Adjustments
10089,17128.00000000,2025-Q2,Inventory Adjustments
10070,-6920.00000000,2024-Q4,Inventory Adjustments
10053,0.00000000,2025-Q1,Inventory Adjustments
10010,0.00000000,2024-Q4,Inventory Adjustments
10083,-900190.00000000,2024-Q4,Inventory Adjustments
10025,645796.00000000,2024-Q4,Inventory Adjustments
10021,-134490.00000000,2025-Q2,Inventory Adjustments
10028,-2184.00000000,2024-Q4,Inventory Adjustments
10028,-819100.00000000,2024-Q4,Inventory Adjustments
10080,270.00000000,2024-Q4,Inventory Adjustments
10020,142216.00000000,2024-Q4,Inventory Adjustments
10021,2456.00000000,2025-Q2,Inventory Adjustments
10033,-30.00000000,2024-Q4,Inventory Adjustments
10090,-2280.00000000,2024-Q4,Inventory Adjustments
10015,1120.00000000,2024-Q4,Inventory Adjustments
10071,-37746.00000000,2024-Q4,Inventory Adjustments
10017,-2440.00000000,2025-Q1,Inventory Adjustments
10054,854.00000000,2024-Q4,Inventory Adjustments
10032,-10486.00000000,2025-Q2,Inventory Adjustments
10053,-28531195.00000000,2025-Q2,Inventory Adjustments
10002,63408.00000000,2025-Q1,Inventory Adjustments
10052,-475800.00000000,2024-Q4,Inventory Adjustments
10077,-7940.00000000,2025-Q1,Inventory Adjustments
10072,-2260440.00000000,2024-Q4,Inventory Adjustments
10053,-91230.00000000,2025-Q2,Inventory Adjustments
10026,-10554870.00000000,2024-Q4,Inventory Adjustments
10047,-51705.00000000,2025-Q2,Inventory Adjustments
10022,-886656.00000000,2025-Q2,Inventory Adjustments
10019,412612.00000000,2025-Q2,Inventory Adjustments
10067,149430.00000000,2024-Q4,Inventory Adjustments
10086,5860.00000000,2025-Q2,Inventory Adjustments
10025,-22157.00000000,2024-Q4,Inventory Adjustments
10094,-205868.00000000,2024-Q4,Inventory Adjustments
10025,-3604.00000000,2025-Q2,Inventory Adjustments
10082,-2226.00000000,2025-Q2,Inventory Adjustments
10069,8814.00000000,2024-Q4,Inventory Adjustments
10026,29600.00000000,2024-Q4,Inventory Adjustments
10029,-18078.00000000,2025-Q2,Inventory Adjustments
10064,1530708.00000000,2024-Q4,Inventory Adjustments
10031,-198699.00000000,2025-Q2,Inventory Adjustments
10035,-1501320.00000000,2024-Q4,Inventory Adjustments
10079,-57.00000000,2025-Q1,Inventory Adjustments
10016,-2328.00000000,2024-Q4,Inventory Adjustments
10045,74.00000000,2025-Q1,Inventory Adjustments
10099,68196.00000000,2024-Q4,Inventory Adjustments
10074,107080.00000000,2024-Q4,Inventory Adjustments
10033,1287118.00000000,2025-Q1,Inventory Adjustments
10043,-1494.00000000,2025-Q2,Inventory Adjustments
10098,-493328.00000000,2025-Q2,Inventory Adjustments
10073,-4326637.00000000,2025-Q1,Inventory Adjustments
10046,52915.00000000,2025-Q1,Inventory Adjustments
10085,0.00000000,2024-Q4,Inventory Adjustments
10048,-45115.00000000,2025-Q1,Inventory Adjustments
10063,-8532.00000000,2025-Q1,Inventory Adjustments
10083,-5047210.00000000,2025-Q2,Inventory Adjustments
10064,33579.00000000,2025-Q2,Inventory Adjustments
10064,-780.00000000,2024-Q4,Inventory Adjustments
10037,-5498.00000000,2025-Q2,Inventory Adjustments
10075,554.00000000,2025-Q2,Inventory Adjustments
10024,-70632.00000000,2025-Q2,Inventory Adjustments
10071,-37404.00000000,2024-Q4,Inventory Adjustments
10005,3286744.00000000,2025-Q1,Inventory Adjustments
10013,-776.00000000,2025-Q2,Inventory Adjustments
10097,1193380.00000000,2024-Q4,Inventory Adjustments
10098,37890.00000000,2024-Q4,Inventory Adjustments
10070,-11243.00000000,2024-Q4,Inventory Adjustments
10062,59580.00000000,2025-Q2,Inventory Adjustments
10097,688.00000000,2024-Q4,Inventory Adjustments
10022,7120.00000000,2025-Q2,Inventory Adjustments
10087,-598.00000000,2025-Q1,Inventory Adjustments
10062,-12915.00000000,2024-Q4,Inventory Adjustments
10045,2044.00000000,2024-Q4,Inventory Adjustments
10026,-11898.00000000,2024-Q4,Inventory Adjustments
10098,-5580.00000000,2024-Q4,Inventory Adjustments
10054,-83050.00000000,2024-Q4,Inventory Adjustments
10025,800.00000000,2024-Q4,Inventory Adjustments
10095,-1101.00000000,2024-Q4,Inventory Adjustments
10030,11076.00000000,2025-Q1,Inventory Adjustments
10008,-393.00000000,2025-Q2,Inventory Adjustments
10033,3240.00000000,2025-Q1,Inventory Adjustments
10070,356472.00000000,2024-Q4,Inventory Adjustments
10071,50064.00000000,2025-Q2,Inventory Adjustments
10077,-15950570.00000000,2024-Q4,Inventory Adjustments
10069,-53460.00000000,2025-Q2,Inventory Adjustments
10072,8208.00000000,2024-Q4,Inventory Adjustments
10085,-873936.00000000,2024-Q4,Inventory Adjustments
10021,-33551.00000000,2025-Q1,Inventory Adjustments
10025,27840.00000000,2024-Q4,Inventory Adjustments
10047,-236110.00000000,2025-Q1,Inventory Adjustments
10086,3891465.00000000,2025-Q2,Inventory Adjustments
10037,408072.00000000,2025-Q2,Inventory Adjustments
10099,27768.00000000,2024-Q4,Inventory Adjustments
10035,134506.00000000,2025-Q2,Inventory Adjustments
10094,582.00000000,2025-Q1,Inventory Adjustments
10063,9912.00000000,2024-Q4,Inventory Adjustments
10087,5010.00000000,2024-Q4,Inventory Adjustments
10064,-108520.00000000,2025-Q2,Inventory Adjustments
10023,-63834.00000000,2024-Q4,Inventory Adjustments
10084,859362.00000000,2024-Q4,Inventory Adjustments
10097,-175.00000000,2024-Q4,Inventory Adjustments
10092,9704.00000000,2024-Q4,Inventory Adjustments
10031,-2598.00000000,2025-Q2,Inventory Adjustments
10046,-321.00000000,2024-Q4,Inventory Adjustments
10094,0.00000000,2024-Q4,Inventory Adjustments
10014,-1184.00000000,2025-Q1,Inventory Adjustments
10033,80.00000000,2024-Q4,Inventory Adjustments
10029,96.00000000,2025-Q1,Inventory Adjustments
10035,-8705.00000000,2024-Q4,Inventory Adjustments
10065,3738328.00000000,2025-Q1,Inventory Adjustments
10037,-765.00000000,2024-Q4,Inventory Adjustments
10060,-143520.00000000,2024-Q4,Inventory Adjustments
10057,33425.00000000,2024-Q4,Inventory Adjustments
10057,-5601.00000000,2024-Q4,Inventory Adjustments
10087,-300797.00000000,2025-Q2,Inventory Adjustments
10025,-1320.00000000,2024-Q4,Inventory Adjustments
10052,-902.00000000,2024-Q4,Inventory Adjustments
10067,-40195.00000000,2024-Q4,Inventory Adjustments
10096,-8120.00000000,2024-Q4,Inventory Adjustments
10092,16140.00000000,2024-Q4,Inventory Adjustments
10035,-141315.00000000,2025-Q1,Inventory Adjustments
10037,-50.00000000,2024-Q4,Inventory Adjustments
10030,123940.00000000,2024-Q4,Inventory Adjustments
10043,4921.00000000,2025-Q2,Inventory Adjustments
10051,34762.00000000,2024-Q4,Inventory Adjustments
10067,-11851.00000000,2025-Q2,Inventory Adjustments
10055,33174.00000000,2025-Q1,Inventory Adjustments
10047,-9443.00000000,2025-Q1,Inventory Adjustments
10004,3630.00000000,2024-Q4,Inventory Adjustments
10100,6.00000000,2024-Q4,Inventory Adjustments
10081,36390.00000000,2024-Q4,Inventory Adjustments
10032,-20.00000000,2025-Q2,Inventory Adjustments
10030,11640.00000000,2025-Q1,Inventory Adjustments
10018,-1890.00000000,2025-Q1,Inventory Adjustments
10086,24352.00000000,2024-Q4,Inventory Adjustments
10086,-6732.00000000,2025-Q2,Inventory Adjustments
10008,-115560.00000000,2025-Q1,Inventory Adjustments
10004,216.00000000,2024-Q4,Inventory Adjustments
10093,1188.00000000,2024-Q4,Inventory Adjustments
10075,-1076.00000000,2024-Q4,Inventory Adjustments
10020,87246.00000000,2025-Q2,Inventory Adjustments
10073,199888.00000000,2024-Q4,Inventory Adjustments
10032,-140888.00000000,2025-Q1,Inventory Adjustments
10077,15966.00000000,2025-Q2,Inventory Adjustments
10057,1134.00000000,2024-Q4,Inventory Adjustments
10025,8055.00000000,2025-Q2,Inventory Adjustments
10005,-9929.00000000,2025-Q2,Inventory Adjustments
10032,18314.00000000,2025-Q2,Inventory Adjustments
10084,1450.00000000,2024-Q4,Inventory Adjustments
10087,-1812.00000000,2024-Q4,Inventory Adjustments
10005,264032.00000000,2025-Q2,Inventory Adjustments
10018,-86.00000000,2025-Q2,Inventory Adjustments
10041,-9608.00000000,2024-Q4,Inventory Adjustments
10085,-2670.00000000,2024-Q4,Inventory Adjustments
10018,-2106.00000000,2024-Q4,Inventory Adjustments
10024,371.00000000,2025-Q2,Inventory Adjustments
10091,-5523.00000000,2025-Q2,Inventory Adjustments
10019,706.00000000,2024-Q4,Inventory Adjustments
10006,419220.00000000,2025-Q2,Inventory Adjustments
10019,-280.00000000,2024-Q4,Inventory Adjustments
10033,636.00000000,2024-Q4,Inventory Adjustments
10002,15450.00000000,2025-Q1,Inventory Adjustments
10026,19860.00000000,2024-Q4,Inventory Adjustments
10031,-141920.00000000,2024-Q4,Inventory Adjustments
10028,-669.00000000,2024-Q4,Inventory Adjustments
10057,3234.00000000,2025-Q2,Inventory Adjustments
10055,-6076.00000000,2025-Q2,Inventory Adjustments
10044,-9906.00000000,2024-Q4,Inventory Adjustments
10085,-1769.00000000,2024-Q4,Inventory Adjustments
10031,-16750.00000000,2024-Q4,Inventory Adjustments
10052,10578.00000000,2025-Q2,Inventory Adjustments
10040,1314.00000000,2025-Q1,Inventory Adjustments
10025,728465.00000000,2025-Q1,Inventory Adjustments
10008,141016.00000000,2024-Q4,Inventory Adjustments
10029,6388.00000000,2024-Q4,Inventory Adjustments
10014,9230.00000000,2024-Q4,Inventory Adjustments
10057,104.00000000,2025-Q2,Inventory Adjustments
10005,570.00000000,2025-Q2,Inventory Adjustments
10030,-3042.00000000,2024-Q4,Inventory Adjustments
10063,-187866.00000000,2024-Q4,Inventory Adjustments
10041,18147.00000000,2024-Q4,Inventory Adjustments
10047,-3606.00000000,2024-Q4,Inventory Adjustments
10079,6502.00000000,2024-Q4,Inventory Adjustments
10049,-144.00000000,2025-Q2,Inventory Adjustments
10099,-614616.00000000,2024-Q4,Inventory Adjustments
10082,-19808.00000000,2024-Q4,Inventory Adjustments
10043,35.00000000,2025-Q2,Inventory Adjustments
10060,5775.00000000,2024-Q4,Inventory Adjustments
10088,-1043.00000000,2025-Q2,Inventory Adjustments
10002,77736.00000000,2025-Q2,Inventory Adjustments
10050,18444.00000000,2024-Q4,Inventory Adjustments
10072,36.00000000,2024-Q4,Inventory Adjustments
10078,-2615712.00000000,2025-Q1,Inventory Adjustments
10089,2370.00000000,2024-Q4,Inventory Adjustments
10043,-12792.00000000,2025-Q2,Inventory Adjustments
10095,-2384.00000000,2025-Q1,Inventory Adjustments
10026,-17642.00000000,2025-Q2,Inventory Adjustments
10059,-12640.00000000,2025-Q1,Inventory Adjustments
10090,-44364.00000000,2024-Q4,Inventory Adjustments
10081,-201132.00000000,2024-Q4,Inventory Adjustments
10027,-27585.00000000,2024-Q4,Inventory Adjustments
10051,-4050.00000000,2025-Q2,Inventory Adjustments
10075,164.00000000,2024-Q4,Inventory Adjustments
10038,6440.00000000,2025-Q1,Inventory Adjustments
10027,-140.00000000,2025-Q1,Inventory Adjustments
10028,3138.00000000,2024-Q4,Inventory Adjustments
10035,-750.00000000,2024-Q4,Inventory Adjustments
10040,-50.00000000,2025-Q1,Inventory Adjustments
10042,-405.00000000,2025-Q1,Inventory Adjustments
10028,5.00000000,2025-Q2,Inventory Adjustments
10070,19222.00000000,2024-Q4,Inventory Adjustments
10088,-416.00000000,2024-Q4,Inventory Adjustments
10006,-560.00000000,2025-Q2,Inventory Adjustments
10043,-16.00000000,2025-Q2,Inventory Adjustments
10039,-56052.00000000,2024-Q4,Inventory Adjustments
10081,3170.00000000,2024-Q4,Inventory Adjustments
10056,-920.00000000,2025-Q1,Inventory Adjustments
10079,8850.00000000,2024-Q4,Inventory Adjustments
10098,265.00000000,2025-Q1,Inventory Adjustments
10011,-35.00000000,2024-Q4,Inventory Adjustments
10075,28668.00000000,2025-Q2,Inventory Adjustments
10095,66990.00000000,2024-Q4,Inventory Adjustments
10017,-70900.00000000,2025-Q2,Inventory Adjustments
10036,-145.00000000,2024-Q4,Inventory Adjustments
10062,-2290.00000000,2025-Q1,Inventory Adjustments
10065,176346.00000000,2024-Q4,Inventory Adjustments
10006,632734.00000000,2025-Q2,Inventory Adjustments
10056,136912.00000000,2024-Q4,Inventory Adjustments
10038,304994.00000000,2024-Q4,Inventory Adjustments
10027,5956400.00000000,2025-Q2,Inventory Adjustments
10030,-34593.00000000,2024-Q4,Inventory Adjustments
10083,1046808.00000000,2024-Q4,Inventory Adjustments
10091,0.00000000,2025-Q1,Inventory Adjustments
10091,-3297230.00000000,2025-Q2,Inventory Adjustments
10053,376950.00000000,2025-Q2,Inventory Adjustments
10067,135708.00000000,2024-Q4,Inventory Adjustments
10029,1097833.00000000,2025-Q1,Inventory Adjustments
10067,121990.00000000,2025-Q2,Inventory Adjustments
10096,0.00000000,2024-Q4,Inventory Adjustments
10075,74735.00000000,2024-Q4,Inventory Adjustments
10067,-243464.00000000,2024-Q4,Inventory Adjustments
10028,26344.00000000,2025-Q2,Inventory Adjustments
10076,-423540.00000000,2025-Q2,Inventory Adjustments
10093,-3960.00000000,2024-Q4,Inventory Adjustments
10009,971060.00000000,2025-Q2,Spending
10005,-31694.00000000,2025-Q1,Standard COGS
10049,-4120264.00000000,2024-Q4,Spending
10051,5661795.00000000,2024-Q4,Spending
10100,428892.00000000,2025-Q2,Spending
10028,71415.00000000,2025-Q2,Spending
10024,286296.00000000,2024-Q4,Spending
10071,37889.00000000,2024-Q4,Spending
10045,428120.00000000,2025-Q1,Spending
10035,125048.00000000,2024-Q4,Spending
10043,367500.00000000,2024-Q4,Spending
10090,-208692.00000000,2024-Q4,Spending
10029,-159860.00000000,2024-Q4,Standard COGS
10053,-14562.00000000,2024-Q4,Spending
10066,0.00000000,2025-Q1,Standard COGS
10097,268750.00000000,2024-Q4,Spending
